Round Number,Date,Location,Home Team,Away Team,Result
1,16/10/2018 20:00,TD Garden,Boston Celtics,Philadelphia 76ers,
1,16/10/2018 22:30,ORACLE Arena,Golden State Warriors,Oklahoma City Thunder,
1,17/10/2018 19:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,
1,17/10/2018 19:00,Little Caesars Arena,Detroit Pistons,Brooklyn Nets,
1,17/10/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Memphis Grizzlies,
1,17/10/2018 19:00,Amway Center,Orlando Magic,Miami Heat,
1,17/10/2018 19:30,Madison Square Garden,New York Knicks,Atlanta Hawks,
1,17/10/2018 19:30,Scotiabank Arena,Toronto Raptors,Cleveland Cavaliers,
1,17/10/2018 20:00,Toyota Center,Houston Rockets,New Orleans Pelicans,
1,17/10/2018 20:30,AT+ACY-T Center,San Antonio Spurs,Minnesota Timberwolves,
1,17/10/2018 22:00,Golden 1 Center,Sacramento Kings,Utah Jazz,
1,17/10/2018 22:30,Staples Center,LA Clippers,Denver Nuggets,
1,17/10/2018 22:30,Talking Stick Resort Arena,Phoenix Suns,Dallas Mavericks,
1,18/10/2018 20:00,Wells Fargo Center,Philadelphia 76ers,Chicago Bulls,
1,18/10/2018 20:00,Capital One Arena,Washington Wizards,Miami Heat,
1,18/10/2018 22:30,Moda Center,Portland Trail Blazers,Los Angeles Lakers,
1,19/10/2018 19:00,Amway Center,Orlando Magic,Charlotte Hornets,
1,19/10/2018 19:30,Barclays Center,Brooklyn Nets,New York Knicks,
1,19/10/2018 20:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,
1,19/10/2018 20:00,FedExForum,Memphis Grizzlies,Atlanta Hawks,
1,19/10/2018 20:00,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,
1,19/10/2018 20:00,Smoothie King Center,New Orleans Pelicans,Sacramento Kings,
1,19/10/2018 20:30,Fiserv Forum,Milwaukee Bucks,Indiana Pacers,
1,19/10/2018 22:30,Vivint Smart Home Arena,Utah Jazz,Golden State Warriors,
1,19/10/2018 22:30,Staples Center,LA Clippers,Oklahoma City Thunder,
1,20/10/2018 19:00,Bankers Life Fieldhouse,Indiana Pacers,Brooklyn Nets,
1,20/10/2018 19:00,Capital One Arena,Washington Wizards,Toronto Raptors,
1,20/10/2018 19:30,Madison Square Garden,New York Knicks,Boston Celtics,
1,20/10/2018 19:30,Wells Fargo Center,Philadelphia 76ers,Orlando Magic,
