"Player","Depth","Team","teamAbbr","total_MP","G","GS","GSpct","MP_per_game","WS","BPM","Pick","imputed"
"K. Bazemore",1,"Atlanta","ATL",5835,213,197,0.924882629107981,27.3943661971831,2.84462724935733,-0.0394001713796058,0,0
"T. Prince",1,"Atlanta","ATL",1462,77,44,0.571428571428571,18.987012987013,0.4,-3.1,12,0
"J. Collins",1,"Atlanta","ATL",1785,74,26,0.351351351351351,24.1216216216216,5.4,1.7,19,0
"D. Dedmon",1,"Atlanta","ATL",3577,196,103,0.525510204081633,18.25,4.00150964495387,0.591417388873357,0,0
"Trae Young",1,"Atlanta","ATL",1684.61975212654,70.4227050890786,38.0181370066395,0.539856243218005,23.9215427750985,2.09843089102234,-1.70742585309432,5,1
"J. Lin",2,"Atlanta","ATL",2956,115,47,0.408695652173913,25.704347826087,3.05219891745602,-0.219113667117727,0,0
"T. Dorsey",2,"Atlanta","ATL",974,56,5,0.0892857142857143,17.3928571428571,0.4,-4.2,41,0
"A. Len",2,"Atlanta","ATL",4776,224,93,0.415178571428571,21.3214285714286,2.78994974874372,-1.69422110552764,0,0
"K. Huerter",2,"Atlanta","ATL",755.680767579242,53.2322765173482,4.36327103094022,0.0819666434802624,14.1959130253046,0.892000204818244,-2.73373383257199,19,1
"O. Spellman",2,"Atlanta","ATL",474.525906465491,40.0042732455965,1.10640195341023,0.0276570941963562,11.861880443428,0.28567749536328,-3.65279738865023,30,1
"J. Adams",3,"Atlanta","ATL",15,2,0,0,7.5,0,1.9,0,0
"D. Bembry",3,"Atlanta","ATL",826,64,4,0.0625,12.90625,-0.085593220338983,-4.35508474576271,21,0
"Justin Anderson",3,"Atlanta","ATL",2394,168,19,0.113095238095238,14.25,1.53203842940685,-1.57861319966583,0,0
"A. Poythress",3,"Atlanta","ATL",261,31,1,0.032258064516129,8.41935483870968,0.220306513409962,-3.09770114942529,0,0
"Miles Plumlee",3,"Atlanta","ATL",2272,161,61,0.37888198757764,14.111801242236,1.31258802816901,-2.46628521126761,0,0
"V. Carter",4,"Atlanta","ATL",3830,191,23,0.120418848167539,20.0523560209424,2.67263707571802,-0.139843342036554,0,0
"D. Hamilton",4,"Atlanta","ATL",28,6,0,0,4.66666666666667,0.1,-1.6,56,0
"T. Robinson",4,"Atlanta","ATL",1477,119,8,0.0672268907563025,12.4117647058824,0.713744075829384,-2.67251184834123,0,0
"C. Aldrich",4,"Atlanta","ATL",1380,143,5,0.034965034965035,9.65034965034965,2.52920289855072,2.76847826086957,0,0
"R. Hunter",5,"Atlanta","ATL",369,44,1,0.0227272727272727,8.38636363636364,0.25609756097561,-3.81463414634146,0,0
"K. Irving",1,"Boston","BOS",6123,185,185,1,33.0972972972973,7.83821656050955,3.42183570145354,0,0
"J. Brown",1,"Boston","BOS",3493,148,90,0.608108108108108,23.6013513513514,3.34826796450043,-1.65886057829946,3,0
"G. Hayward",1,"Boston","BOS",5414,154,154,1,35.1558441558442,9.58886220908755,3.27663465090506,0,0
"J. Tatum",1,"Boston","BOS",2438,80,80,1,30.475,7.1,1,3,0
"A. Horford",1,"Boston","BOS",7101,222,222,1,31.9864864864865,7.92957329953528,3.75910435149979,0,0
"T. Rozier",2,"Boston","BOS",3642,193,16,0.0829015544041451,18.8704663212435,3.6396760021966,-0.408484349258649,0,0
"M. Smart",2,"Boston","BOS",5680,194,45,0.231958762886598,29.2783505154639,2.74255281690141,-0.0633450704225352,0,0
"S. Ojeleye",2,"Boston","BOS",1150,73,0,0,15.7534246575342,1.2,-3.5,37,0
"Marcus Morris",2,"Boston","BOS",6868,213,180,0.845070422535211,32.2441314553991,4.37628130460105,-0.25381479324403,0,0
"A. Baynes",2,"Boston","BOS",3881,237,70,0.29535864978903,16.3755274261603,3.34947178562226,-1.25341406853904,0,0
"W. Lemon Jr.",3,"Boston","BOS",35,5,0,0,7,-0.1,-11.7,0,0
"J. Bird",3,"Boston","BOS",115,13,1,0.0769230769230769,8.84615384615385,0.2,-2.1,56,0
"G. Yabusele",3,"Boston","BOS",235,33,4,0.121212121212121,7.12121212121212,0.6,-0.7,16,0
"D. Theis",3,"Boston","BOS",936,63,3,0.0476190476190476,14.8571428571429,3.5,2.6,0,0
"B. Wanamaker",3,"Boston","BOS",185.82740740784,21.9731095205496,0.546647591242658,0.0248780260586889,8.45703732710435,0.247544479905499,-5.20835336835175,60,1
"P. Dozier",4,"Boston","BOS",3,2,0,0,1.5,0,-34,0,0
"R. Williams",4,"Boston","BOS",79,6,0,0,13.1666666666667,0.2,-2.4,27,0
"D. Russell",1,"Brooklyn","BRK",5304,191,143,0.74869109947644,27.7696335078534,0.536934389140272,-1.03041101055807,0,0
"A. Crabbe",1,"Brooklyn","BRK",6556,235,83,0.353191489361702,27.8978723404255,3.89699511897498,-0.836653447223917,0,0
"D. Carroll",1,"Brooklyn","BRK",4848,171,167,0.976608187134503,28.3508771929825,3.51336633663366,0.510561056105611,0,0
"R. Hollis-Jefferson",1,"Brooklyn","BRK",4296,175,126,0.72,24.5485714285714,3.06997206703911,-0.416899441340782,0,0
"J. Allen",1,"Brooklyn","BRK",1441,72,31,0.430555555555556,20.0138888888889,4.2,0.2,22,0
"S. Dinwiddie",2,"Brooklyn","BRK",3799,151,76,0.503311258278146,25.158940397351,4.4473019215583,-0.408081073966833,0,0
"C. LeVert",2,"Brooklyn","BRK",3101,128,36,0.28125,24.2265625,2.10054821025476,-0.739342147694292,20,0
"J. Harris",2,"Brooklyn","BRK",3128,135,25,0.185185185185185,23.1703703703704,2.81662404092072,-1.05994245524297,0,0
"E. Davis",2,"Brooklyn","BRK",3944,205,12,0.0585365853658537,19.2390243902439,5.06569472616633,0.988919878296146,0,0
"K. Faried",2,"Brooklyn","BRK",3451,160,105,0.65625,21.56875,4.56340191248913,0.434975369458128,0,0
"S. Napier",3,"Brooklyn","BRK",2647,182,12,0.0659340659340659,14.543956043956,1.99440876463921,-1.4202493388742,0,0
"T. Graham",3,"Brooklyn","BRK",1239,90,3,0.0333333333333333,13.7666666666667,1.5864406779661,-1.18983050847458,0,0
"J. Dudley",3,"Brooklyn","BRK",4146,193,48,0.248704663212435,21.4818652849741,3.05142305836951,0.0931017848528703,0,0
"D. Musa",3,"Brooklyn","BRK",490.947595497044,40.7521043075913,1.29805648464116,0.0318525020166715,12.0471716452097,0.3469899411175,-3.59161797596121,29,1
"R. Kurucs",4,"Brooklyn","BRK",428.832419833348,37.6415859593532,0.856722586093278,0.0227600023818975,11.3925173157267,0.374252679406333,-3.38423513183902,40,1
"K. Dunn",1,"Chicago","CHI",2858,130,50,0.384615384615385,21.9846153846154,0.473512946116165,-1.0794611616515,5,0
"Z. LaVine",1,"Chicago","CHI",4699,153,104,0.679738562091503,30.7124183006536,2.42779314747819,-1.17205788465631,0,0
"J. Parker",1,"Chicago","CHI",4879,158,125,0.791139240506329,30.879746835443,3.37618364418938,-1.3877843820455,0,0
"L. Markkanen",1,"Chicago","CHI",2020,68,68,1,29.7058823529412,3.3,-1.9,7,0
