"Rk","Pick","Team","Player","Draft"
"1","1","NJN","Kenyon Martin",2000
"2","2","VAN","Stromile Swift",2000
"3","3","LAC","Darius Miles",2000
"4","4","CHI","Marcus Fizer",2000
"5","5","ORL","Mike Miller",2000
"6","6","ATL","DerMarr Johnson",2000
"7","7","CHI","Chris Mihm",2000
"8","8","CLE","Jamal Crawford",2000
"9","9","HOU","Joel Przybilla",2000
"10","10","ORL","Keyon Dooling",2000
"11","11","BOS","Jerome Moiso",2000
"12","12","DAL","Etan Thomas",2000
"13","13","ORL","Courtney Alexander",2000
"14","14","DET","Mateen Cleaves",2000
"15","15","MIL","Jason Collier",2000
"16","16","SAC","Hedo Turkoglu",2000
"17","17","SEA","Desmond Mason",2000
"18","18","LAC","Quentin Richardson",2000
"19","19","CHH","Jamaal Magloire",2000
"20","20","PHI","Speedy Claxton",2000
"21","21","TOR","Morris Peterson",2000
"22","22","NYK","Donnell Harvey",2000
"23","23","UTA","DeShawn Stevenson",2000
"24","24","CHI","Dalibor Bagaric",2000
"25","25","PHO","Jake Tsakalidis",2000
"26","26","DEN","Mamadou N'Diaye",2000
"27","27","IND","Primoz Brezec",2000
"28","28","POR","Erick Barkley",2000
"29","29","LAL","Mark Madsen",2000
"30","30","LAC","Marko Jaric",2000
"31","31","DAL","Dan Langhi",2000
"32","32","CHI","A.J. Guyton",2000
"33","33","CHI","Jake Voskuhl",2000
"34","34","CHI","Khalid El-Amin",2000
"35","35","WAS","Mike Smith",2000
"36","36","NJN","Soumaila Samake",2000
"37","37","MIA","Eddie House",2000
"38","38","HOU","Eduardo Najera",2000
"39","39","NYK","Lavor Postell",2000
"40","40","ATL","Hanno Mottola",2000
"41","41","SAS","Chris Carrawell",2000
"42","42","SEA","Olumide Oyedeji",2000
"43","43","MIL","Michael Redd",2000
"44","44","DET","Brian Cardinal",2000
"45","45","SAC","Jabari Smith",2000
"46","46","TOR","DeeAndre Hulett",2000
"47","47","SEA","Josip Sesar",2000
"48","48","PHI","Mark Karcher",2000
"49","49","MIL","Jason Hart",2000
"50","50","UTA","Kaniel Dickens",2000
"51","51","MIN","Igor Rakocevic",2000
"52","52","MIA","Ernest Brown",2000
"53","53","DEN","Dan McClintock",2000
"54","54","SAS","Cory Hightower",2000
"55","55","GSW","Chris Porter",2000
"56","56","IND","Jaquay Walls",2000
"57","57","ATL","Scoonie Penn",2000
"58","58","DAL","Pete Mickeal",2000
"1","1","WAS","Kwame Brown",2001
"2","2","LAC","Tyson Chandler",2001
"3","3","ATL","Pau Gasol",2001
"4","4","CHI","Eddy Curry",2001
"5","5","GSW","Jason Richardson",2001
"6","6","MEM","Shane Battier",2001
"7","7","NJN","Eddie Griffin",2001
"8","8","CLE","DeSagana Diop",2001
"9","9","DET","Rodney White",2001
"10","10","BOS","Joe Johnson",2001
"11","11","BOS","Kedrick Brown",2001
"12","12","SEA","Vladimir Radmanovic",2001
"13","13","HOU","Richard Jefferson",2001
"14","14","GSW","Troy Murphy",2001
"15","15","ORL","Steven Hunter",2001
"16","16","CHH","Kirk Haston",2001
"17","17","TOR","Michael Bradley",2001
"18","18","HOU","Jason Collins",2001
"19","19","POR","Zach Randolph",2001
"20","20","CLE","Brendan Haywood",2001
"21","21","BOS","Joseph Forte",2001
"22","22","ORL","Jeryl Sasser",2001
"23","23","HOU","Brandon Armstrong",2001
"24","24","UTA","Raul Lopez",2001
"25","25","SAC","Gerald Wallace",2001
"26","26","PHI","Samuel Dalembert",2001
"27","27","MEM","Jamaal Tinsley",2001
"28","28","SAS","Tony Parker",2001
"30","30","CHI","Trenton Hassell",2001
"31","31","GSW","Gilbert Arenas",2001
"32","32","ORL","Omar Cook",2001
"33","33","MEM","Will Solomon",2001
"34","34","ATL","Terence Morris",2001
"35","35","NJN","Brian Scalabrine",2001
"36","36","CLE","Jeff Trepagnier",2001
"37","37","PHI","Damone Brown",2001
"38","38","DET","Mehmet Okur",2001
"39","39","NYK","Michael Wright",2001
"40","40","SEA","Earl Watson",2001
"41","41","IND","Jamison Brewer",2001
"42","42","SEA","Bobby Simmons",2001
"43","43","NYK","Eric Chenowith",2001
"44","44","DAL","Kyle Hill",2001
"45","45","CHI","Sean Lampley",2001
"46","46","MIN","Loren Woods",2001
"47","47","DEN","Ousmane Cisse",2001
"48","48","MEM","Antonis Fotsis",2001
"49","49","MIA","Ken Johnson",2001
"50","50","POR","Ruben Boumtje-Boumtje",2001
"51","51","PHO","Alton Ford",2001
"52","52","MIL","Andre Hutson",2001
"53","53","UTA","Jarron Collins",2001
"54","54","DAL","Kenny Satterfield",2001
"55","55","SAC","Maurice Jeffers",2001
"56","56","SAS","Robertas Javtokas",2001
"57","57","PHI","Alvin Jones",2001
"58","58","SAS","Bryan Bracey",2001
"1","1","HOU","Yao Ming",2002
"2","2","CHI","Jay Williams",2002
"3","3","GSW","Mike Dunleavy",2002
"4","4","MEM","Drew Gooden",2002
"5","5","DEN","Nikoloz Tskitishvili",2002
"6","6","CLE","Dajuan Wagner",2002
"7","7","NYK","Nene Hilario",2002
"8","8","LAC","Chris Wilcox",2002
"9","9","PHO","Amar'e Stoudemire",2002
"10","10","MIA","Caron Butler",2002
"11","11","WAS","Jared Jeffries",2002
"12","12","LAC","Melvin Ely",2002
"13","13","MIL","Marcus Haislip",2002
"14","14","IND","Fred Jones",2002
"15","15","HOU","Bostjan Nachbar",2002
"16","16","PHI","Jiri Welsch",2002
"17","17","WAS","Juan Dixon",2002
"18","18","ORL","Curtis Borchardt",2002
"19","19","UTA","Ryan Humphrey",2002
"20","20","TOR","Kareem Rush",2002
"21","21","POR","Qyntel Woods",2002
"22","22","PHO","Casey Jacobsen",2002
"23","23","DET","Tayshaun Prince",2002
"24","24","NJN","Nenad Krstic",2002
"25","25","DEN","Frank Williams",2002
"26","26","SAS","John Salmons",2002
"27","27","LAL","Chris Jefferies",2002
"28","28","SAC","Dan Dickau",2002
"30","30","GSW","Steve Logan",2002
"31","31","CHI","Roger Mason",2002
"32","32","MEM","Robert Archibald",2002
"33","33","DEN","Vincent Yarbrough",2002
"34","34","MIL","Dan Gadzuric",2002
"35","35","CLE","Carlos Boozer",2002
"36","36","NYK","Milos Vujanic",2002
"37","37","ATL","David Andersen",2002
"38","38","HOU","Tito Maddox",2002
"39","39","WAS","Rod Grizzard",2002
"40","40","WAS","Juan Carlos Navarro",2002
"41","41","LAC","Mario Kasun",2002
"42","42","MIL","Ronald Murray",2002
"43","43","POR","Jason Jennings",2002
"44","44","CHI","Lonny Baxter",2002
"45","45","PHI","Sam Clancy",2002
"46","46","MEM","Matt Barnes",2002
"47","47","UTA","Jamal Sampson",2002
"48","48","MIL","Chris Owens",2002
"49","49","SEA","Peter Fehse",2002
"50","50","BOS","Darius Songaila",2002
"51","51","POR","Federico Kammerichs",2002
"52","52","MIN","Marcus Taylor",2002
"53","53","MIA","Rasual Butler",2002
"54","54","NJN","Tamar Slay",2002
"55","55","DAL","Mladen Sekularac",2002
"56","56","SAS","Luis Scola",2002
"57","57","SAS","Randy Holcomb",2002
"58","58","SAC","Corsley Edwards",2002
"1","1","CLE","LeBron James",2003
"2","2","DET","Darko Milicic",2003
"3","3","DEN","Carmelo Anthony",2003
"4","4","TOR","Chris Bosh",2003
"5","5","MIA","Dwyane Wade",2003
"6","6","LAC","Chris Kaman",2003
"7","7","CHI","Kirk Hinrich",2003
"8","8","MIL","T.J. Ford",2003
"9","9","NYK","Mike Sweetney",2003
"10","10","WAS","Jarvis Hayes",2003
"11","11","GSW","Mickael Pietrus",2003
"12","12","SEA","Nick Collison",2003
"13","13","MEM","Marcus Banks",2003
"14","14","SEA","Luke Ridnour",2003
"15","15","ORL","Reece Gaines",2003
"16","16","BOS","Troy Bell",2003
"17","17","PHO","Zarko Cabarkapa",2003
"18","18","NOH","David West",2003
"19","19","UTA","Sasha Pavlovic",2003
"20","20","BOS","Dahntay Jones",2003
"21","21","ATL","Boris Diaw",2003
"22","22","NJN","Zoran Planinic",2003
"23","23","POR","Travis Outlaw",2003
"24","24","LAL","Brian Cook",2003
"25","25","DET","Carlos Delfino",2003
"26","26","MIN","Ndudi Ebi",2003
"27","27","MEM","Kendrick Perkins",2003
"28","28","SAS","Leandro Barbosa",2003
"29","29","DAL","Josh Howard",2003
"30","30","NYK","Maciej Lampe",2003
"31","31","CLE","Jason Kapono",2003
"32","32","LAL","Luke Walton",2003
"33","33","MIA","Jerome Beasley",2003
"34","34","LAC","Sofoklis Schortsanitis",2003
"35","35","MIL","Szymon Szewczyk",2003
"36","36","CHI","Mario Austin",2003
"37","37","ATL","Travis Hansen",2003
"38","38","WAS","Steve Blake",2003
"39","39","NYK","Slavko Vranes",2003
"40","40","GSW","Derrick Zimmerman",2003
"41","41","SEA","Willie Green",2003
"42","42","ORL","Zaza Pachulia",2003
"43","43","MIL","Keith Bogans",2003
"44","44","HOU","Malick Badiane",2003
"45","45","CHI","Matt Bonner",2003
"46","46","DEN","Sani Becirovic",2003
"47","47","UTA","Mo Williams",2003
"48","48","NOH","James Lang",2003
"49","49","IND","James Jones",2003
"50","50","PHI","Paccelis Morlende",2003
"51","51","NJN","Kyle Korver",2003
"52","52","TOR","Remon Van de Hare",2003
"53","53","CHI","Tommy Smith",2003
"54","54","POR","Nedzad Sinanovic",2003
"55","55","MIN","Rick Rickert",2003
