Player,Depth,Team,teamAbbr
T. Young,1,Atlanta,ATL
K. Bazemore,1,Atlanta,ATL
T. Prince,1,Atlanta,ATL
J. Collins,1,Atlanta,ATL
D. Dedmon,1,Atlanta,ATL
J. Lin,2,Atlanta,ATL
K. Huerter,2,Atlanta,ATL
T. Dorsey,2,Atlanta,ATL
O. Spellman,2,Atlanta,ATL
A. Len,2,Atlanta,ATL
J. Adams,3,Atlanta,ATL
D. Bembry,3,Atlanta,ATL
J. Anderson,3,Atlanta,ATL
A. Poythress,3,Atlanta,ATL
M. Plumlee,3,Atlanta,ATL
V. Carter,4,Atlanta,ATL
D. Hamilton,4,Atlanta,ATL
T. Robinson,4,Atlanta,ATL
C. Aldrich,4,Atlanta,ATL
R. Hunter,5,Atlanta,ATL
K. Irving,1,Boston,BOS
J. Brown,1,Boston,BOS
G. Hayward,1,Boston,BOS
J. Tatum,1,Boston,BOS
A. Horford,1,Boston,BOS
T. Rozier,2,Boston,BOS
M. Smart,2,Boston,BOS
S. Ojeleye,2,Boston,BOS
M. Morris,2,Boston,BOS
A. Baynes,2,Boston,BOS
W. Lemon Jr.,3,Boston,BOS
B. Wanamaker,3,Boston,BOS
J. Bird,3,Boston,BOS
G. Yabusele,3,Boston,BOS
D. Theis,3,Boston,BOS
P. Dozier,4,Boston,BOS
R. Williams,4,Boston,BOS
D. Russell,1,Brooklyn,BRK
A. Crabbe,1,Brooklyn,BRK
D. Carroll,1,Brooklyn,BRK
R. Hollis-Jefferson,1,Brooklyn,BRK
J. Allen,1,Brooklyn,BRK
S. Dinwiddie,2,Brooklyn,BRK
C. LeVert,2,Brooklyn,BRK
J. Harris,2,Brooklyn,BRK
E. Davis,2,Brooklyn,BRK
K. Faried,2,Brooklyn,BRK
S. Napier,3,Brooklyn,BRK
T. Graham,3,Brooklyn,BRK
D. Musa,3,Brooklyn,BRK
J. Dudley,3,Brooklyn,BRK
R. Kurucs,4,Brooklyn,BRK
K. Dunn,1,Chicago,CHI
Z. LaVine,1,Chicago,CHI
