"Rk","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","year","yeargroup"
1,"Quincy Acy","SF",23,"TOT",63,847,10.1,0.52,0.106,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,0.6,0.9,1.5,0.086,-2.5,1.4,-1.1,0.2,2014,2017
2,"Steven Adams","C",20,"OKC",81,1197,11.2,0.541,0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.9,1.9,2.9,0.114,-2.1,2.4,0.3,0.7,2014,2017
4,"Arron Afflalo","SG",28,"ORL",73,2552,16,0.574,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,4.3,1,5.3,0.099,1.7,-2.3,-0.6,0.9,2014,2017
5,"Alexis Ajinca","C",25,"NOP",56,951,14.6,0.589,0.004,0.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,1.2,0.9,2.1,0.104,-1.5,0.8,-0.7,0.3,2014,2017
6,"Cole Aldrich","C",25,"NYK",46,330,19.1,0.62,0,0.492,12.8,33.8,23,6.4,1.3,8.1,19.5,13,0.6,0.6,1.2,0.178,-2.6,3.8,1.2,0.3,2014,2017
7,"LaMarcus Aldridge","PF",28,"POR",69,2498,21.8,0.507,0.011,0.253,7.2,25.5,16.5,13,1.3,1.9,7.2,29.8,4,3.5,7.5,0.144,-0.4,0.7,0.3,1.5,2014,2017
8,"Lavoy Allen","PF",24,"TOT",65,1072,12.5,0.47,0.043,0.167,11.7,20,15.7,10.1,1.1,2.4,12,14.6,0.6,0.9,1.5,0.066,-3.1,0.3,-2.8,-0.2,2014,2017
10,"Tony Allen","SG",32,"MEM",55,1278,15.6,0.531,0.114,0.293,7.3,12,9.6,11.7,3.8,1.2,16.2,20.1,0.5,2.1,2.7,0.1,-0.1,2.4,2.3,1.4,2014,2017
11,"Al-Farouq Aminu","SF",23,"NOP",80,2045,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-1.4,1,-0.3,0.9,2014,2017
13,"Chris Andersen","C",35,"MIA",72,1396,18.5,0.683,0.044,0.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,3.8,2.2,6,0.205,0.1,1.5,1.6,1.3,2014,2017
14,"Alan Anderson","SF",31,"BRK",78,1773,9.5,0.525,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.8,0.9,1.7,0.047,-0.8,-1.4,-2.2,-0.1,2014,2017
